id,quest,shortname,item01,item02,item03,item04,item05,item06,item07,item08,item09,item10,item11,item12,item13,item14,item15,item16
94082601,強欲の都,強欲の都,揺籃の歌,牙,狂輝,槍ピ,殺ピ,狂ピ,朽葉,薔薇,,,,,,,,
94082602,傲慢の都,傲慢の都,揺籃の歌,ランタン,骨,弓魔,弓輝,メダル,朽葉,,,,,,,,,
94082603,怠惰の都,怠惰の都,揺籃の歌,証,狂輝,術ピ,狂ピ,メダル,薔薇,,,,,,,,,
94082604,色欲の都,色欲の都,揺籃の歌,根,八連,槍秘,槍輝,槍ピ,メダル,朽葉,薔薇,,,,,,,
94082605,ジグラット９９階攻略ツアー,ジグラット９９階攻略ツアー,揺籃の歌,実,炉心,剣秘,剣魔,剣輝,騎ピ,術ピ,殺ピ,狂ピ,朽葉,薔薇,,,,
94082606,市内観光ツアー,市内観光ツアー,揺籃の歌,胆石,羽根,狂秘,狂魔,狂輝,騎ピ,術ピ,殺ピ,狂ピ,メダル,朽葉,,,,
94082607,仮装パレード,仮装パレード,揺籃の歌,涙石,勲章,歯車,弓魔,弓輝,騎モ,術モ,殺モ,狂モ,メダル,薔薇,,,,
94082608,サバト会場,サバト会場,揺籃の歌,宵哭きの鉄杭,殺魔,殺輝,騎モ,術モ,殺モ,狂モ,朽葉,薔薇,,,,,,
94082609,エルロンド会議,エルロンド会議,揺籃の歌,幼角,灰,騎魔,騎輝,騎モ,メダル,朽葉,,,,,,,,
94082610,マイ・フェア・レディ,マイ・フェア・レディ,揺籃の歌,逆鱗,牙,槍秘,槍魔,槍輝,槍モ,メダル,薔薇,,,,,,,
94082611,沈む魔術協会,沈む魔術協会,揺籃の歌,ランプ,矢尻,頁,殺魔,殺輝,殺モ,朽葉,薔薇,,,,,,,
94082612,嵐の遭難者,嵐の遭難者,揺籃の歌,結氷,貝殻,蛇玉,騎魔,騎輝,騎モ,メダル,朽葉,,,,,,,
94082613,役者はいなくなった,役者はいなくなった,揺籃の歌,脂,小鐘,剣魔,剣輝,剣モ,メダル,薔薇,,,,,,,,
94082615,未完の馬再建計画,未完の馬再建計画,揺籃の歌,神酒,指輪,騎秘,騎魔,騎モ,メダル,朽葉,薔薇,,,,,,,
