id,quest,shortname,item01,item02,item03,item04,item05,item06,item07,item08,item09,item10,item11,item12,item13,item14,item15,item16
94077801,第壱関門 アサシンステップス,第壱関門 アサシンステップス,花の解説者,塵,殺魔,殺輝,殺ピ,ゼッケン,金メダル,銀メダル,銅メダル,,,,,,,
94077802,第壱関門 ホエールボーン,第壱関門 ホエールボーン,花の解説者,歯車,術秘,術魔,術輝,騎ピ,術ピ,殺ピ,狂ピ,ゼッケン,銀メダル,銅メダル,,,,
94077803,第壱関門 ビートザオーガ,第壱関門 ビートザオーガ,花の解説者,骨,騎魔,騎輝,騎モ,ゼッケン,金メダル,銀メダル,,,,,,,,
94077804,第壱関門 そびえ立つ壁,第壱関門 そびえ立つ壁,花の解説者,根,鉄杭,剣秘,剣魔,剣輝,剣モ,ゼッケン,金メダル,銅メダル,,,,,,
94077805,第壱関門 タランチュラウォーク,第壱関門 タランチュラウォーク,花の解説者,爪,糸玉,槍秘,槍魔,槍モ,ゼッケン,,,,,,,,,
94077806,第壱関門 エッグファイト,第壱関門 エッグファイト,花の解説者,卵,髄液,騎魔,騎輝,剣モ,騎モ,ゼッケン,金メダル,銀メダル,銅メダル,,,,,
94077807,第壱関門 ミミクリーパラダイス,第壱関門 ミミクリーパラダイス,花の解説者,炉心,鱗粉,弓秘,弓魔,弓輝,弓モ,ゼッケン,金メダル,銀メダル,銅メダル,,,,,
94077808,第弐関門 デンジャラス鬼ごっこ,第弐関門 デンジャラス鬼ごっこ,花の解説者,鎖,殺輝,騎ピ,術ピ,殺ピ,狂ピ,ゼッケン,金メダル,銀メダル,銅メダル,,,,,
94077809,第弐関門 クイズ！ ファイト&ガッツ,第弐関門 クイズ！ ファイト&ガッツ,花の解説者,頁,術魔,術輝,騎ピ,術ピ,殺ピ,狂ピ,ゼッケン,銀メダル,銅メダル,,,,,
94077810,第弐関門 アマゾンズＢＩＮＧＯ,第弐関門 アマゾンズＢＩＮＧＯ,花の解説者,鈴,蛇玉,狂魔,狂輝,騎モ,術モ,殺モ,狂モ,ゼッケン,金メダル,銀メダル,,,,
94077811,第弐関門 ボコボコ,第弐関門 ボコボコ,花の解説者,矢尻,狂魔,狂輝,狂モ,ゼッケン,金メダル,銅メダル,,,,,,,,
94077812,第弐関門 シャークラダー,第弐関門 シャークラダー,花の解説者,神酒,貝殻,槍魔,槍輝,槍モ,ゼッケン,,,,,,,,,
94077813,第弐関門 テールハント,第弐関門 テールハント,花の解説者,スカラベ,種,騎秘,騎魔,騎輝,騎モ,術モ,殺モ,狂モ,ゼッケン,金メダル,銀メダル,銅メダル,,
94077814,第弐関門 ぶっちぎりバトルサーキット,第弐関門 ぶっちぎりバトルサーキット,花の解説者,産毛,蹄鉄,剣魔,剣輝,剣モ,槍モ,ゼッケン,金メダル,銀メダル,銅メダル,,,,,
94077816,第参関門 スウィートパニック,第参関門 スウィートパニック,花の解説者,八連,狂秘,狂輝,狂ピ,ゼッケン,銀メダル,銅メダル,,,,,,,,
94077817,第参関門 愛の逃避行中,第参関門 愛の逃避行中,花の解説者,冠,灰,殺魔,殺モ,狂モ,ゼッケン,金メダル,銀メダル,,,,,,,
94077818,第参関門 ギガースクラッシュ,第参関門 ギガースクラッシュ,花の解説者,実,指輪,槍秘,槍魔,槍モ,狂モ,ゼッケン,金メダル,銅メダル,,,,,,
94077819,第参関門 ワイバーングライダー,第参関門 ワイバーングライダー,花の解説者,逆鱗,牙,剣秘,剣輝,剣モ,ゼッケン,,,,,,,,,
94077820,第参関門 マチョハンターズ,第参関門 マチョハンターズ,花の解説者,胆石,勾玉,狂秘,狂魔,狂輝,槍モ,騎モ,狂モ,ゼッケン,金メダル,銀メダル,銅メダル,,,
94077821,第参関門 3択ＲＩＫＩＳＩ,第参関門 3択ＲＩＫＩＳＩ,花の解説者,鏡,小鐘,弓秘,弓魔,弓モ,狂モ,ゼッケン,金メダル,銀メダル,銅メダル,,,,,
